season,player_name,franchise,price_inr,price_cr
2013,Christopher Morris,CSK,36625000,3.66
2013,Dirk Nannes,CSK,35160000,3.52
2013,Ben Laughlin,CSK,1172000,0.12
2013,Akila Dananjaya,CSK,1172000,0.12
2013,Jason Holder,CSK,1172000,0.12
2013,Johan Botha,DD,26370000,2.64
2013,Jesse Ryder,DD,15236000,1.52
2013,Jeevan Mendis,DD,2930000,0.29
2013,Manpreet Gony,KXIP,29300000,2.93
2013,Luke Pomersbach,KXIP,17580000,1.76
2013,Sachithra Senanayaka,KKR,36625000,3.66
2013,Ryan McLaren,KKR,2930000,0.29
2013,Glenn Maxwell,MI,58600000,5.86
2013,Nathan Coulter-Nile,MI,26370000,2.64
2013,Ricky Ponting,MI,23440000,2.34
2013,Philip Hughes,MI,5860000,0.59
2013,Jacob Oram,MI,2930000,0.29
2013,Ajantha Mendis,Pune Warriors India,42485000,4.25
2013,Kane Richardson,Pune Warriors India,41020000,4.1
2013,Abhishek Nayar,Pune Warriors India,39555000,3.96
2013,Michael Clarke,Pune Warriors India,23440000,2.34
2013,James Faulkner,RR,23440000,2.34
2013,Fidel Edwards,RR,12306000,1.23
2013,Kusal Janith Perera,RR,1172000,0.12
2013,Jaydev Unadkat,RCB,30765000,3.08
2013,Rudra Pratap Singh,RCB,23440000,2.34
2013,Moises Henriques,RCB,17580000,1.76
2013,Ravi Rampaul,RCB,16994000,1.7
2013,Pankaj Singh,RCB,8790000,0.88
2013,Daniel Christian,RCB,5860000,0.59
2013,Christopher Barnwell,RCB,2930000,0.29
2013,Thisara Perera,SRH,39555000,3.96
2013,Darren Sammy,SRH,24905000,2.49
2013,Sudeep Tyagi,SRH,5860000,0.59
2013,Clinton McKay,SRH,5860000,0.59
2013,Nathan McCullum,SRH,5860000,0.59
2013,Quinton De Kock,SRH,1172000,0.12
2014,Faf Du Plessis,CSK,47500000,4.75
2014,Dwayne Smith,CSK,45000000,4.5
2014,Brendon McCullum,CSK,32500000,3.25
2014,Ashish Nehra,CSK,20000000,2.0
2014,Mohit Sharma,CSK,20000000,2.0
2014,Ishwar Chandra Pandey,CSK,15000000,1.5
2014,Ben Hilfenhaus,CSK,10000000,1.0
2014,John Hastings,CSK,5000000,0.5
2014,Samuel Badree,CSK,3000000,0.3
2014,Matt Henry,CSK,3000000,0.3
2014,Mithun Manhas,CSK,3000000,0.3
2014,Vijay Shankar,CSK,1000000,0.1
2014,Ronit More,CSK,1000000,0.1
2014,Baba Aparajith,CSK,1000000,0.1
2014,Pawan Negi,CSK,1000000,0.1
2014,Dinesh Karthik,DD,125000000,12.5
