franchise,wins,matches_played,win_rate,total_spend_cr,cost_per_win,brand_value,avg_growth,moneyball_score,recommendation
MI,141,269,52.42,267.92,1.9,2069.1,13.64,3.2,BUY
CSK,131,240,54.58,300.29,2.29,2009.2,4.04,3.6,BUY
GT,43,68,63.24,176.75,4.11,1239.8,31.15,4.4,BUY
RR,117,238,49.16,280.04,2.39,1179.9,17.16,4.6,HOLD
RCB,133,266,50.00,393.79,2.96,2299.9,16.91,4.8,HOLD
KKR,130,263,49.43,366.95,2.82,1795.5,13.27,5.4,HOLD
SRH,96,196,48.98,360.14,3.75,1111.5,24.98,6.6,AVOID
DC,123,270,45.56,416.9,3.39,1299.6,23,7.2,AVOID
LSG,34,70,48.57,178.3,5.24,1043.1,32.08,7.4,AVOID
PBKS,124,271,45.76,459.64,3.71,1068.8,15.52,7.8,AVOID
